sub_ID,test_age,condition,order,item,correct
070915_03,3.89596167,C,SI-DCCS-GQ,pre_6,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_1,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_2,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_3,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_4,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_5,1
070915_03,3.89596167,C,SI-DCCS-GQ,post_6,1
071315_02,3.463381246,A,GQ-DCCS-SI,training,1
071315_02,3.463381246,A,GQ-DCCS-SI,training,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_1,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_2,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_3,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_4,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_5,1
071315_02,3.463381246,A,GQ-DCCS-SI,pre_6,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_1,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_2,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_3,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_4,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_5,1
071315_02,3.463381246,A,GQ-DCCS-SI,post_6,1
071415_01,3.885010267,B,GQ-DCCS-SI,training,1
071415_01,3.885010267,B,GQ-DCCS-SI,training,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_1,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_2,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_3,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_4,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_5,1
071415_01,3.885010267,B,GQ-DCCS-SI,pre_6,1
071415_01,3.885010267,B,GQ-DCCS-SI,post_1,0
071415_01,3.885010267,B,GQ-DCCS-SI,post_2,0
071415_01,3.885010267,B,GQ-DCCS-SI,post_3,0
071415_01,3.885010267,B,GQ-DCCS-SI,post_4,0
071415_01,3.885010267,B,GQ-DCCS-SI,post_5,0
071415_01,3.885010267,B,GQ-DCCS-SI,post_6,0
071415_02,4.678986995,B,GQ-DCCS-SI,training,1
071415_02,4.678986995,B,GQ-DCCS-SI,training,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_1,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_2,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_3,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_4,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_5,1
071415_02,4.678986995,B,GQ-DCCS-SI,pre_6,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_1,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_2,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_3,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_4,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_5,1
071415_02,4.678986995,B,GQ-DCCS-SI,post_6,1
071415_03,4.410677618,C,GQ-DCCS-SI,training,1
071415_03,4.410677618,C,GQ-DCCS-SI,training,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_1,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_2,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_3,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_4,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_5,1
071415_03,4.410677618,C,GQ-DCCS-SI,pre_6,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_1,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_2,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_3,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_4,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_5,1
071415_03,4.410677618,C,GQ-DCCS-SI,post_6,1
071415_04,3.608487337,B,GQ-DCCS-SI,training,1
071415_04,3.608487337,B,GQ-DCCS-SI,training,1
071415_04,3.608487337,B,GQ-DCCS-SI,pre_1,0
071415_04,3.608487337,B,GQ-DCCS-SI,pre_2,1
071415_04,3.608487337,B,GQ-DCCS-SI,pre_3,0
071415_04,3.608487337,B,GQ-DCCS-SI,pre_4,1
071415_04,3.608487337,B,GQ-DCCS-SI,pre_5,0
071415_04,3.608487337,B,GQ-DCCS-SI,pre_6,1
071415_04,3.608487337,B,GQ-DCCS-SI,post_1,0
071415_04,3.608487337,B,GQ-DCCS-SI,post_2,1
071415_04,3.608487337,B,GQ-DCCS-SI,post_3,0
071415_04,3.608487337,B,GQ-DCCS-SI,post_4,1
071415_04,3.608487337,B,GQ-DCCS-SI,post_5,0
071415_04,3.608487337,B,GQ-DCCS-SI,post_6,1
071415_05,2.907597536,A,GQ-DCCS-SI,training,1
071415_05,2.907597536,A,GQ-DCCS-SI,training,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_1,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_2,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_3,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_4,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_5,1
071415_05,2.907597536,A,GQ-DCCS-SI,pre_6,1
071415_05,2.907597536,A,GQ-DCCS-SI,post_1,0
071415_05,2.907597536,A,GQ-DCCS-SI,post_2,0
071415_05,2.907597536,A,GQ-DCCS-SI,post_3,0
071415_05,2.907597536,A,GQ-DCCS-SI,post_4,0
