sub_ID,test_age,condition,order,trial_type,correct
070815_08,4.353182752,C,SI-DCCS-GQ,implicature,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_all,1
070815_08,4.353182752,C,SI-DCCS-GQ,control_none,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_02,3.017111567,B,SI-DCCS-GQ,control_none,0
070915_02,3.017111567,B,SI-DCCS-GQ,implicature,0
070915_02,3.017111567,B,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
070915_03,3.89596167,C,SI-DCCS-GQ,implicature,0
070915_03,3.89596167,C,SI-DCCS-GQ,control_all,1
070915_03,3.89596167,C,SI-DCCS-GQ,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,0
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_all,1
071315_02,3.463381246,A,GQ-DCCS-SI,control_none,1
071315_02,3.463381246,A,GQ-DCCS-SI,implicature,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,0
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,0
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,0
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_none,0
071415_01,3.885010267,B,GQ-DCCS-SI,implicature,1
071415_01,3.885010267,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_02,4.678986995,B,GQ-DCCS-SI,control_none,1
071415_02,4.678986995,B,GQ-DCCS-SI,implicature,0
071415_02,4.678986995,B,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,0
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_all,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,1
071415_03,4.410677618,C,GQ-DCCS-SI,control_none,1
071415_03,4.410677618,C,GQ-DCCS-SI,implicature,1
